timestamp,rank_ic,evidence
2023-01-02 00:00:00+00:00,0.530827,SYNTHETIC_DATA
2023-01-03 00:00:00+00:00,0.735338,SYNTHETIC_DATA
2023-01-04 00:00:00+00:00,0.821053,SYNTHETIC_DATA
2023-01-05 00:00:00+00:00,0.733835,SYNTHETIC_DATA
2023-01-06 00:00:00+00:00,0.584962,SYNTHETIC_DATA
2023-01-09 00:00:00+00:00,0.403008,SYNTHETIC_DATA
2023-01-10 00:00:00+00:00,0.742857,SYNTHETIC_DATA
2023-01-11 00:00:00+00:00,0.840602,SYNTHETIC_DATA
2023-01-12 00:00:00+00:00,0.652632,SYNTHETIC_DATA
2023-01-13 00:00:00+00:00,0.807519,SYNTHETIC_DATA
2023-01-16 00:00:00+00:00,0.676692,SYNTHETIC_DATA
2023-01-17 00:00:00+00:00,0.76391,SYNTHETIC_DATA
2023-01-18 00:00:00+00:00,0.75188,SYNTHETIC_DATA
2023-01-19 00:00:00+00:00,0.833083,SYNTHETIC_DATA
2023-01-20 00:00:00+00:00,0.592481,SYNTHETIC_DATA
2023-01-23 00:00:00+00:00,0.485714,SYNTHETIC_DATA
2023-01-24 00:00:00+00:00,0.610526,SYNTHETIC_DATA
2023-01-25 00:00:00+00:00,0.762406,SYNTHETIC_DATA
2023-01-26 00:00:00+00:00,0.781955,SYNTHETIC_DATA
2023-01-27 00:00:00+00:00,0.598496,SYNTHETIC_DATA
